cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
__Secure-ENID,31.SE=gLD4PsHtTxShz-j_6p7KL8Olz4eZ-LVWW4aKThS79I0Uj_cYMA6-rkHS3Ppok6xvQj6xbkY2MQx5huLRBrUZNabFolWVbDnc-6i3IZk9TqEsFZFkOke6DfE9tJGkPkgbm3z_R_IQIyaUeMN-T90eBuSxuT0P3o0daTj-SPmyGNkMaL8RX0XwbJXp5K5gJ3dsa4LEetfkNHakg_2tQKufQMQvlnDsqglQp9vZ64lYZEuCdN9ew_bk5w,.google.com,/,True,1804459066,True,https://translate.google.com/gen204?nca=te_li&client=te_lib&logld=vTE_20260203,GET,,"{""sec-ch-ua-platform"": ""\\""Windows\\"""", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""sec-ch-ua-mobile"": ""?0"", ""accept"": ""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8"", ""x-browser-channel"": ""stable"", ""x-browser-year"": ""2026"", ""x-browser-validation"": ""AKIAtsVHZoiKbPixy+qSK1BgKWo="", ""x-browser-copyright"": ""Copyright 2026 Google LLC. All Rights reserved."", ""x-client-data"": ""CIjeygE="", ""sec-fetch-site"": ""cross-site"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""image"", ""sec-fetch-storage-access"": ""active"", ""referer"": ""https://www.radiofrance.fr/bibliotheque"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""i""}",204.0,"{""content-type"": ""image/gif; charset=utf-8"", ""cache-control"": ""no-cache, no-store, max-age=0, must-revalidate"", ""pragma"": ""no-cache"", ""expires"": ""Mon, 01 Jan 1990 00:00:00 GMT"", ""date"": ""Thu, 05 Feb 2026 06:19:28 GMT"", ""cross-origin-resource-policy"": ""cross-origin"", ""p3p"": ""CP=\\""This is not a P3P policy! See g.co/p3phelp for more info.\\"""", ""permissions-policy"": ""ch-ua-arch=*, ch-ua-bitness=*, ch-ua-full-version=*, ch-ua-full-version-list=*, ch-ua-model=*, ch-ua-wow64=*, ch-ua-form-factors=*, ch-ua-platform=*, ch-ua-platform-version=*"", ""cross-origin-opener-policy"": ""same-origin"", ""accept-ch"": ""Sec-CH-UA-Arch, Sec-CH-UA-Bitness, Sec-CH-UA-Full-Version, Sec-CH-UA-Full-Version-List, Sec-CH-UA-Model, Sec-CH-UA-WoW64, Sec-CH-UA-Form-Factors, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version"", ""content-security-policy"": ""require-trusted-types-for 'script';report-uri /_/TranslateApiHttp/cspreport"", ""reporting-endpoints"": ""default=\\""/_/TranslateApiHttp/web-reports?context=eJzj4tDikmLw15BiEOLm-PBmwhk2gR9zr7ApKSXlF8aXFCXmFecklqQWpxaVpRbFGxkYmRkYGRjrGZjHFxgAABjSEqA\\"""", ""server"": ""ESF"", ""content-length"": ""0"", ""x-xss-protection"": ""0"", ""x-frame-options"": ""SAMEORIGIN"", ""x-content-type-options"": ""nosniff"", ""set-cookie"": ""__Secure-ENID=31.SE=gLD4PsHtTxShz-j_6p7KL8Olz4eZ-LVWW4aKThS79I0Uj_cYMA6-rkHS3Ppok6xvQj6xbkY2MQx5huLRBrUZNabFolWVbDnc-6i3IZk9TqEsFZFkOke6DfE9tJGkPkgbm3z_R_IQIyaUeMN-T90eBuSxuT0P3o0daTj-SPmyGNkMaL8RX0XwbJXp5K5gJ3dsa4LEetfkNHakg_2tQKufQMQvlnDsqglQp9vZ64lYZEuCdN9ew_bk5w; expires=Sun, 07-Mar-2027 22:37:46 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=lax"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000""}",2026-02-05T15:19:27.338180,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,third-party
didomi_token,eyJ1c2VyX2lkIjoiMTljMTg1MGUtMWFmNi02MmQ3LWE2MmMtNWNkMDU3Y2I5OWU5IiwiY3JlYXRlZCI6IjIwMjYtMDItMDFUMDg6Mjc6NTkuNzkxWiIsInVwZGF0ZWQiOiIyMDI2LTAyLTAxVDA4OjI4OjEyLjUyNFoiLCJ2ZW5kb3JzIjp7ImVuYWJsZWQiOlsiZ29vZ2xlIiwidHdpdHRlciIsImFtYXpvbiIsImM6aG90amFyIiwiYzppbnN0YWdyYW0iLCJjOnlvdXR1YmUiLCJjOnRyaWJhbC1mdXNpb24iLCJjOmRpZG9taSIsImM6YmluZy1hZHMiLCJjOnlhaG9vLWFkLWV4Y2hhbmdlIiwiYzphd3MtY2xvdWRmcm9udCIsImM6ZmFjZWJvb2staGRXZXRRTmEiLCJjOm1heHBvaW50LWludGVyYWN0aXZlIiwiYzpzcG90aWZ5LWVtYmVkIiwiYzpiYXRjaC1qaUV6RnRjYyIsImM6ZXhlbGF0ZSIsImM6eWFob28tYW5hbHl0aWNzIiwiYzpvd25lcmlxIiwiYzp0cnVzdGUtY29uc2VudCIsImM6c3luYWNvciIsImM6YXRpbnRlcm5lLWF4SzJDOEVOIiwiYzpwdWJzdGFjay1DYWhEYmFMeSIsImM6ZmFjZWJvb2tjLXJnYWNSTVFtIiwiYzpmYWNlYm9va2EtRWJXSEFjTm0iLCJjOnJhZGlvZnJhbi1QVk1pV0RZZyIsImM6Z29vZ2xldGFnLWdqN256cjYzIiwiYzp0d2l0dGVyLXJOR25qS3o2IiwiYzpkYWlseW1vdGlvLWY0UWZmaVJIIiwiYzp0aWt0b2stS1pBVVFMWjkiLCJjOnF1YWxpZmlvLXB6MlE0SnB6IiwiYzpnb29nbGVmb3ItamRxWmlYQ3EiLCJjOmFtcGxpdHVkZS1Oa2lleEJ0MyIsImM6c2NyaWJkLU1rV2hCMzhkIiwiYzppbnN0YWdyYW0tZUhLbkdhbUciLCJjOnNvdW5kY2xvdWQtMzJMVUJkVDQiLCJjOm1ha2VvcmctNzljYjZKZjkiLCJjOmluZm9ncmFtLUdCYWpVN1hpIiwiYzphZG90bW9iIiwiYzpyZmtpcmJ5IiwiYzp0d2l0Y2gtUUZ4SEpSMkciLCJjOmdvb2dsZXRhZy1GOWtRTWpEZiIsImM6Z29vZ2xlbWFwLUhpTVpOSjdxIiwiYzpnb29nbGVyZS1heXRXZ2lVVyIsImM6Z29vZ2xldGFnLVI2cEpIMjNCIiwiYzp2b3htLWRLcWI3UjdaIiwiYzp0eXBlZm9ybS1QM0tSQzllZSJdfSwicHVycG9zZXMiOnsiZW5hYmxlZCI6WyJyZXNlYXV4c28tWkRFS3RXV3EiLCJtZXN1cmVkYS1HMkhZWEZBVyIsImRldmljZV9jaGFyYWN0ZXJpc3RpY3MiLCJnZW9sb2NhdGlvbl9kYXRhIiwicmVjb21tYW5kYS05OFFLSkdyVyJdfSwidmVuZG9yc19saSI6eyJlbmFibGVkIjpbImdvb2dsZSIsImM6ZGFpbHltb3Rpby1mNFFmZmlSSCIsImM6Z29vZ2xldGFnLVI2cEpIMjNCIiwiYzp2b3htLWRLcWI3UjdaIl19LCJwdXJwb3Nlc19saSI6eyJlbmFibGVkIjpbIm1lc3VyZWRhLUcySFlYRkFXIiwicmVzZWF1eHNvLVpERUt0V1dxIl19LCJ2ZXJzaW9uIjoyLCJhYyI6IkRRT0FhQUZrQTl3Q1N3SWtnWXJCQXdDU2NGQTRLZFFXYWd3R0Joc0RRTUFBLkRRT0FhQUZrQTl3Q1N3SWtnWXJCQXdDU2NGQTRLZFFXYWd3R0Joc0RRTUFBIn0=,.radiofrance.fr,/,False,1785745692,False,,,,,,,2026-02-05T15:20:41.046514,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,first-party
euconsent-v2,CQe8esAQe8esAAHABBENCPFsAP_gAEPgAAAAI3hB5CzcCSFAKCJHYIoEQAQEwQAgQEAgBgCAAQAACBoAIIQABGAAAAQAICAAAAAAAEAAIAAkAABABAAAAIABAACIAAAAIAAAIAAAAAAAAgAACAAAEgAgAAAAAABEAhQAgAAAQBoAQAAAAgAAAUAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAII7QJgAFgAVAAuABwADwAIAAVAAyABoAEwAKoAaAA_ACEAE4AK0AYYA54B3AHeAP0AhABFgCMQEcAR0A2gB2wD_gIdATSAqUBagC2AFzALzAYsAyQCN4EdgAA.f_wACHwAAAAA,.radiofrance.fr,/,False,1785745692,False,,,,,,,2026-02-05T15:20:41.046514,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,first-party
_fbp,fb.1.1769934498444.70885131448090129,.radiofrance.fr,/,False,1778048414,False,,,,,,,2026-02-05T15:20:41.046514,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,first-party
rf-session,1770272351110,www.radiofrance.fr,/,False,1770274214,False,,,,,,,2026-02-05T15:20:41.046514,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,third-party
visit_id,4deba5a2-70be-40fc-89d5-48df44f9d2da,www.radiofrance.fr,/,False,1770274214,False,,,,,,,2026-02-05T15:20:41.046514,https://radiofrance.fr,2026-02-05T15:20:41.046514,Radio France | Écoutez en ligne vos radios,radiofrance_fr,third-party
