cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
m,ae849058-fbbb-4dfb-a43a-56fdae919ba9cbc442,m.stripe.com,/,True,1833077698,True,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard&laf=b64bin,POST, ,"{""content-length"": ""1"", ""origin"": ""https://www.google.com"", ""content-type"": ""application/x-www-form-urlencoded"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""no-cors"", ""sec-fetch-dest"": ""empty"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=4, i""}",200.0,"{""content-type"": ""application/binary"", ""vary"": ""Origin"", ""access-control-allow-origin"": ""https://www.google.com"", ""access-control-allow-credentials"": ""true"", ""cache-control"": ""no-cache, no-store, max-age=0, must-revalidate"", ""pragma"": ""no-cache"", ""expires"": ""Mon, 01 Jan 1990 00:00:00 GMT"", ""date"": ""Mon, 02 Feb 2026 04:14:39 GMT"", ""strict-transport-security"": ""max-age=31536000; includeSubDomains"", ""permissions-policy"": ""ch-ua-arch=*, ch-ua-bitness=*, ch-ua-full-version=*, ch-ua-full-version-list=*, ch-ua-model=*, ch-ua-wow64=*, ch-ua-form-factors=*, ch-ua-platform=*, ch-ua-platform-version=*"", ""cross-origin-opener-policy"": ""same-origin"", ""content-security-policy"": ""require-trusted-types-for 'script';report-uri /_/IdentityListAccountsHttp/cspreport"", ""accept-ch"": ""Sec-CH-UA-Arch, Sec-CH-UA-Bitness, Sec-CH-UA-Full-Version, Sec-CH-UA-Full-Version-List, Sec-CH-UA-Model, Sec-CH-UA-WoW64, Sec-CH-UA-Form-Factors, Sec-CH-UA-Platform, Sec-CH-UA-Platform-Version"", ""reporting-endpoints"": ""default=\\""/_/IdentityListAccountsHttp/web-reports?context=eJzj0tHikmLw05BiOHxtB5Meyy0mIyDW1PNl0wVi84n-bNZAbPnGn80WiIV4ONafbDjDJnCjYc8bRiXdpPzC-MyU1LySzJLKnMziksTk5PzSvJLi4tSistSieCMDIzMDQyNTPQPD-AIDANCCIqM\\"""", ""server"": ""ESF"", ""content-length"": ""0"", ""x-xss-protection"": ""0"", ""x-content-type-options"": ""nosniff"", ""alt-svc"": ""h3=\\"":443\\""; ma=2592000,h3-29=\\"":443\\""; ma=2592000""}",2026-02-02T13:14:38.954502,https://bravis.fr,2026-02-02T13:18:05.456626,Mon compte - Bravis immobilier,bravis_fr,third-party
__stripe_mid,d42acd9e-c327-4b46-91f9-7b69b2838e2ee120ed,.bravis.fr,/,True,1801541707,False,,,,,,,2026-02-02T13:18:05.456626,https://bravis.fr,2026-02-02T13:18:05.456626,Mon compte - Bravis immobilier,bravis_fr,first-party
__stripe_sid,cb025fff-9d8f-492a-8853-dd9826b549ee79093d,.bravis.fr,/,True,1770007507,False,,,,,,,2026-02-02T13:18:05.456626,https://bravis.fr,2026-02-02T13:18:05.456626,Mon compte - Bravis immobilier,bravis_fr,first-party
