cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_expires,cookie_httpOnly,request_url,request_method,request_body,request_headers,response_status_code,response_headers,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
x-ff-abtest-group,A,www.voici.fr,/,False,-1,False,https://www.voici.fr/,GET,,"{""upgrade-insecure-requests"": ""1"", ""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-site"": ""none"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-user"": ""?1"", ""sec-fetch-dest"": ""document"", ""sec-ch-ua"": ""\\""Not(A:Brand\\"";v=\\""8\\"", \\""Chromium\\"";v=\\""144\\"", \\""Google Chrome\\"";v=\\""144\\"""", ""sec-ch-ua-mobile"": ""?0"", ""sec-ch-ua-platform"": ""\\""Windows\\"""", ""accept-encoding"": ""gzip, deflate, br, zstd"", ""accept-language"": ""en-US,en;q=0.9"", ""priority"": ""u=0, i""}",200.0,"{""cache-control"": ""max-age=60, public"", ""content-encoding"": ""gzip"", ""content-type"": ""text/html; charset=UTF-8"", ""document-policy"": ""js-profiling"", ""vary"": ""Accept-Encoding"", ""x-app-id"": ""voici"", ""x-brand-key"": ""voi"", ""x-project-id"": ""one-website"", ""x-request-time"": ""0.082"", ""date"": ""Thu, 29 Jan 2026 12:43:25 GMT"", ""content-length"": ""46494"", ""set-cookie"": ""x-ff-abtest-group=A; path=/"", ""tdm-policy"": ""https://ops.programme-tv.net/tdm/tdm.json"", ""tdm-reservation"": ""1"", ""strict-transport-security"": ""max-age=2628000""}",2026-01-29T21:43:24.941482,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,third-party
_sp_su,false,.voici.fr,/,True,1801226612,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,first-party
g_state,"{""i_l"":0,""i_ll"":1769690615408,""i_b"":""ITuqCkZaIh9s3BBt6YbPXLQgHJazE9PmDb705noxxME"",""i_e"":{""enable_itp_optimization"":3}}",www.voici.fr,/,False,1785242615,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,third-party
cmp_firstid_consented,1,.voici.fr,/,False,1785242622,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,first-party
shown-privacy-manager-message,true,.voici.fr,/,False,1785242622,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,first-party
consentUUID,256b1a18-5d02-4c27-9472-c347e9c10aee_52,.voici.fr,/,True,1785242625,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,first-party
consentDate,2026-01-29T12:43:44.924Z,.voici.fr,/,True,1785242625,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,first-party
cmp_referrer,,.www.voici.fr,/,False,1770295425,False,,,,,,,2026-01-29T21:47:10.800394,https://voici.fr,2026-01-29T21:47:10.800394,502 Bad Gateway,voici_fr,third-party
